ClusterNo,FollowerCount
 1,13
 1,63
 1,1503
 1,19
 1,1089
 1,777
 1,324
 1,84
 1,1795
 1,1669
 1,176
 1,156
 1,1017
 1,2
 1,198
 1,1017
 1,95
 1,52
 1,652
 1,6
 1,152
 1,71
 1,168
 1,1216
 1,463
 1,5109
 1,100
 1,163
 1,212
 1,262
 1,21
 1,244
 1,37
 1,0
 1,1
 1,63
 1,61
 1,27570
 1,0
 1,13
 1,124
 1,19
 1,1148
 1,528
 1,234
 1,27
 1,820
 1,61
 1,7322
 1,36
 1,955
 1,220
 1,2299
 1,2299
 1,2299
 1,60
 1,136
 1,12
 1,69
 1,597
 1,3670
 1,162
 1,223
 1,388
 1,117
 1,16
 1,3141
 1,882
 1,51
 1,45
 1,428
 1,2553
 1,0
 1,55
 1,39
 1,49
 1,626
 1,0
 1,1
 1,6456
 1,1264
 1,1301
 1,6782
 1,1285
 1,777
 1,3494
 1,52
 1,27
 1,66
 1,59
 1,33
 1,43
 1,176
 1,99
 1,2
 1,720
 1,88
 1,97
 1,1577
 1,84
 1,130
 1,0
 1,0
 1,2356
 1,13
 1,1
 1,24
 1,41
 1,198
 1,62
 1,139
 1,169
 1,313
 1,1032
 1,11871
 1,1240
 1,48
 1,1620
 1,1778
 1,955
 1,146
 1,205
 1,955
 1,562
 1,0
 1,29
 1,0
 1,7009
 1,3
 1,98
 1,3688
 1,188
 1,995
 1,36
 1,305
 1,31131
 1,5935
 1,137
 1,52
 1,10
 1,16
 1,1577
 1,189
 1,0
 1,101
 1,1184
 1,31
 1,3
 1,1949
 1,202
 1,1221
 1,2355
 1,1041
 1,260
 1,18
 1,2
 1,176
 1,20
 1,116
 1,52
 1,3423
 1,163
 1,964
 1,37
 1,3045
 1,2343
 1,28
 1,1240
 1,197
 1,0
 1,931
 1,931
 1,583
 1,931
 1,931
 1,931
 1,0
 1,140
 1,1387
 1,52
 1,52
 1,311
 1,1330
 1,95
 1,159
 1,160
 1,200
 1,11871
 1,103
 1,411
 1,295
 1,3755
 1,2
 1,33
 1,19
 1,107
 1,265
 1,50
 1,2552
 1,3
 1,1440
 1,362
 1,98
 1,770
 1,388
 1,63
 1,23
 1,100
 1,89
 1,2347
 1,0
 1,439
 1,1634
 1,2253
 1,384
 1,312
 1,384
 1,20913
 1,98
 1,49
 1,8
 1,84
 1,438
 1,14
 1,63
 1,2280
 1,262
 1,756
 1,51
 1,0
 1,30
 1,52
 1,133
 1,824
 1,11871
 1,2560
 1,52
 1,156
 1,101
 1,193
 1,173
 1,242
 1,4828
 1,82
 1,523
 1,3
 1,777
 1,0
 1,97
 1,169
 1,52
 1,2326
 1,74
 1,10
 1,6291
 1,834
 1,0
 1,47
 1,529
 1,632
 1,342
 1,7
 1,250
 1,299
 1,275
 1,11135
 1,29
 1,327
 1,264
 1,234
 1,51
 1,314
 1,20911
 1,57
 1,40
 1,292
 1,253
 1,10386
 1,2190
 1,8606
 1,1661
 1,8963
 1,2548
 1,52
 1,174
 1,626
 1,2521
 1,114
 1,148
 1,49
 1,1109
 1,6
 1,51
 1,14
 1,265
 1,273
 1,719
 1,8
 1,813
 1,52
 1,2406
 1,0
 1,25
 1,52
 1,51
 1,131
 1,1233
 1,65
 1,398
 1,105
 1,572
 1,2020
 1,457
 1,531
 1,296
 1,631
 1,45
 1,28
 1,140
 1,578
 1,25
 1,0
 1,14
 1,229
 1,1189
 1,293
 1,24
 1,13
 1,306
 1,20911
 1,27
 1,4
 1,51
 1,630
 1,486
 1,286
 1,84
 1,297
 1,437
 1,437
 1,84
 1,4
 1,0
 1,95
 1,437
 1,26
 1,21
 1,953
 1,181
 1,473
 1,67
 1,64546
 1,61
 1,6797
 1,0
 1,271
 1,310
 1,275
 1,72
 1,153
 1,3
 1,1113
 1,1973
 1,6281
 1,2190
 1,128
 1,384
 1,44
 1,1602
 1,9
 1,98
 1,988
 1,483
 1,52
 1,630
 1,6321
 1,111
 1,943
 1,136
 1,738
 1,1908
 1,107
 1,0
 1,21
 1,4
 1,90
 1,153
 1,1908
 1,59
 1,659
 1,13
 1,1908
 1,817
 1,26
 1,73
 1,40
 1,4
 1,4072
 1,4
 1,307
 1,24
 1,230
 1,1921
 1,6321
 1,253
 1,163
 1,490
 1,1
 1,2803
 1,82
 1,28
 1,2803
 1,435
 1,955
 1,163
 1,40
 1,2
 1,50
 1,478
 1,498
 1,53
 1,2613
 1,73
 1,118
 1,754
 1,2102
 1,3494
 1,2
 1,6670
 1,198
 1,69
 1,1908
 1,3
 1,219
 1,1016
 1,1
 1,5222
 1,42157
 1,1908
 1,528
 1,207
 1,941
 1,2
 1,277
 1,238
 1,226
 1,254
 1,200
 1,2833
 1,31
 1,268
 1,202
 1,11
 1,18
 1,801
 1,111
 1,130
 1,1
 1,52
 1,3
 1,5955
 1,1872
 1,53
 1,22
 1,531
 1,402
 1,30
 1,297
 1,777
 1,25
 1,384
 1,5960
 1,45
 1,409
 1,237
 1,0
 1,883
 1,123
 1,85
 1,597
 1,47
 1,9
 1,172
 1,194
 1,1559
 1,18
 1,403
 1,49
 1,885
 1,1299
 1,1564
 1,283
 1,1
 1,65
 1,877
 1,83276
 1,52
 1,83
 1,1489
 1,647
 1,2609
 1,151
 1,391
 1,3984
 1,58
 1,37
 1,105498
 1,2362
 1,369
 1,6138
 1,1367
 1,6138
 1,49
 1,6486
 1,165
 1,1
 1,125
 1,208
 1,39
 1,2
 1,9
 1,339
 1,0
 1,16
 1,25
 1,7360
 1,839
 1,87
 1,210
 1,84
 1,179
 1,108
 1,0
 1,11751
 1,52
 1,245
 1,919
 1,20911
 1,0
 1,285
 1,8
 1,504
 1,212
 1,14
 1,25
 1,107
 1,113
 1,52
 1,1301
 1,180
 1,6
 1,6
 1,57018
 1,379
 1,230
 1,7
 1,0
 1,4369
 1,1164
 1,214
 1,395
 1,1338
 1,106
 1,1301
 1,8
 1,592
 1,1
 1,403
 1,79
 1,27
 1,10735
 1,30
